"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.0,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.396,1.0,0.525,0.05,0.0,0.175,0.775,0.82,0.17
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.907,0.208,0.175,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.216,0.226,0.375,0.05,0.1,0.0,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,9.913,0.226,0.5,0.025,0.1,0.0,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.145,0.14,0.475,0.0,0.075,0.0,0.925,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.414,0.174,0.5,0.025,0.0,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.121,0.163,0.325,0.025,0.0,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.165,0.116,0.5,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,15.8,0.125,0.45,0.025,0.05,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.688,0.151,0.55,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,11.802,0.125,0.4,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,24.22,0.133,0.575,0.0,0.05,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,29.492,0.14,0.25,0.075,0.075,0.0,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.778,0.148,0.45,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.023,0.165,0.525,0.0,0.075,0.0,0.925,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.973,0.176,0.6,0.025,0.1,0.0,0.875,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.457,0.163,0.2,0.0,0.025,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.739,0.138,0.55,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.027,0.175,0.4,0.025,0.025,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,18.671,0.163,0.3,0.0,0.05,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,24.905,0.128,0.575,0.0,0.2,0.0,0.8,0.8,0.2
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,23.655,0.424,0.8,0.05,0.925,0.0,0.025,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,36.192,0.296,0.475,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,32.518,0.454,0.825,0.025,0.925,0.0,0.05,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,36.212,0.151,0.45,0.025,0.0,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,38.935,0.247,0.425,0.05,0.0,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,51.812,0.125,0.5,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,68.081,0.469,0.85,0.025,0.95,0.0,0.025,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.223,0.296,0.35,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.548,0.14,0.4,0.0,0.0,0.075,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.303,0.201,0.35,0.0,0.025,0.075,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,8.81,0.185,0.6,0.05,0.05,0.0,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,23.613,0.175,0.5,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,18.345,0.542,0.15,0.125,0.0,0.85,0.025,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,23.542,0.54,0.85,0.025,0.975,0.0,0.0,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,35.432,0.263,0.325,0.025,0.0,0.325,0.65,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,38.99,0.496,0.275,0.075,0.025,0.875,0.025,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,24.928,0.166,0.575,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,25.107,0.179,0.3,0.0,0.075,0.025,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,60.269,0.552,0.275,0.0,0.0,1.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,68.056,0.535,0.8,0.0,1.0,0.0,0.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,68.793,0.389,0.7,0.1,0.875,0.0,0.025,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.75,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,68.864,0.575,0.425,0.025,0.05,0.675,0.25,0.68,0.33
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.836,1.0,0.9,0.125,0.875,0.0,0.0,0.88,0.12
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.961,1.0,0.9,0.0,0.975,0.0,0.025,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.848,1.0,0.05,0.0,0.0,1.0,0.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.755,1.0,0.925,0.025,0.925,0.025,0.025,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,91.123,1.0,0.95,0.025,0.925,0.025,0.025,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.704,1.0,0.85,0.0,0.9,0.075,0.025,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.886,1.0,0.9,0.15,0.825,0.025,0.0,0.17,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.836,1.0,0.2,0.075,0.025,0.875,0.025,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.699,1.0,0.925,0.025,0.95,0.025,0.0,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.909,1.0,0.15,0.05,0.0,0.9,0.05,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.935,1.0,0.05,0.0,0.025,0.975,0.0,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.772,1.0,0.025,0.05,0.0,0.95,0.0,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.717,1.0,0.075,0.0,0.025,0.975,0.0,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.934,1.0,0.9,0.025,0.925,0.025,0.025,0.93,0.07
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,1.0,0.25,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,90.888,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.863,1.0,0.55,0.0,0.025,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.22,1.0,0.55,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.955,1.0,0.55,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.955,1.0,0.55,0.025,0.0,0.0,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.196,1.0,0.55,0.0,0.025,0.025,0.95,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.284,1.0,0.55,0.0,0.075,0.0,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.824,1.0,0.55,0.0,0.025,0.05,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.175,1.0,0.55,0.025,0.05,0.025,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.393,1.0,0.55,0.0,0.125,0.0,0.875,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.821,1.0,0.55,0.0,0.0,0.1,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.13,1.0,0.55,0.025,0.025,0.05,0.9,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.774,1.0,0.55,0.05,0.0,0.0,0.95,0.95,0.05
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.887,1.0,0.55,0.025,0.15,0.05,0.775,0.2,0.8
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.393,1.0,0.55,0.0,0.025,0.075,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.0,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.92,1.0,0.55,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.433,0.22,0.2,0.0,0.1,0.05,0.85,0.85,0.15
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.728,0.189,0.225,0.0,0.05,0.025,0.925,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.013,0.199,0.275,0.0,0.075,0.025,0.9,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.078,0.115,0.575,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.097,0.13,0.45,0.025,0.025,0.0,0.95,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.709,0.318,0.6,0.0,0.15,0.3,0.55,0.35,0.65
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.131,0.166,0.4,0.0,0.0,0.125,0.875,0.9,0.1
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.118,0.244,0.725,0.1,0.025,0.025,0.85,0.12,0.88
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.009,0.146,0.6,0.0,0.0,0.0,1.0,0.0,1.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.862,0.113,0.325,0.0,0.0,0.025,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,19.009,0.199,0.55,0.0,0.0,0.175,0.825,0.17,0.82
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,38.632,0.123,0.4,0.0,0.0,0.0,1.0,1.0,0.0
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,67.147,0.542,0.925,0.025,0.9,0.075,0.0,0.1,0.9
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,72.427,0.603,0.075,0.0,0.0,0.975,0.025,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.25,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,71.427,0.497,0.875,0.35,0.575,0.05,0.025,0.07,0.93
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.011,0.152,0.3,0.0,0.025,0.0,0.975,0.03,0.97
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.002,0.16,0.225,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,5.944,0.148,0.525,0.0,0.0,0.025,0.975,0.97,0.03
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,6.557,0.155,0.55,0.0,0.025,0.15,0.825,0.82,0.17
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,40.29,0.589,0.8,0.025,0.95,0.025,0.0,0.05,0.95
"[[1, 0], [0, 1]]","[[(1, 1), (0, 0)], [(0, 0), (1, 1)]]",40,2000,1.0,0.01,0.01,0.0,0.5,0.5,5,1,1.0,2000,400,0.0,1.0,0.0,1.0,38.784,0.586,0.1,0.0,0.0,0.975,0.025,0.97,0.03
